Id2,AREA CHARACTERISTICS - Area (Land),AREA CHARACTERISTICS - Area (Water),AREA CHARACTERISTICS - Internal Point (Latitude),AREA CHARACTERISTICS - Internal Point (Longitude)
17031010100,        381061,             0,+42.0212617,-087.6698442
17031010201,        504470,             0,+42.0160076,-087.6801485
17031010202,        351716,             0,+42.0160503,-087.6733216
17031010300,        472017,             0,+42.0159407,-087.6665351
17031010400,        548754,        602605,+42.0064028,-087.6571350
17031010501,        202151,             0,+42.0094117,-087.6639581
17031010502,        180367,             0,+42.0045171,-087.6633275
17031010503,        194275,             0,+42.0003200,-087.6631269
17031010600,        494956,             0,+42.0062784,-087.6676833
17031010701,        429680,             0,+42.0091481,-087.6786203
17031010702,        357547,             0,+42.0090199,-087.6727257
17031020100,        411316,             0,+42.0157197,-087.6871154
17031020200,       1241960,             0,+42.0156903,-087.6995191
17031020301,        825543,             0,+42.0068651,-087.7051865
17031020302,        639921,             0,+42.0085406,-087.6949634
17031020400,        555414,             0,+42.0084869,-087.6859126
17031020500,        771656,             0,+42.0013129,-087.6841982
17031020601,        591326,             0,+42.0008746,-087.7018025
17031020602,        492027,             0,+42.0013156,-087.6936373
17031020701,        591396,             0,+41.9868915,-087.7036897
17031020702,        786877,             0,+41.9952890,-087.7053882
17031020801,        655953,             0,+41.9868081,-087.6944149
17031020802,        644017,             0,+41.9940592,-087.6946306
17031020901,        484094,          2819,+41.9950577,-087.6864264
17031020902,        503215,             0,+41.9942499,-087.6786971
17031030101,        122359,        115695,+41.9913475,-087.6550420
17031030102,        113330,         87128,+41.9930264,-087.6550225
17031030103,         86635,        101282,+41.9955241,-087.6551527
17031030104,        109162,         71860,+41.9973166,-087.6559766
17031030200,        666199,             0,+41.9944414,-087.6652300
17031030300,        314151,             0,+41.9943875,-087.6725348
17031030400,        346489,             0,+41.9869515,-087.6720788
17031030500,        618134,             0,+41.9872260,-087.6649359
17031030601,        142181,        110657,+41.9888802,-087.6549042
17031030603,        116001,             0,+41.9854762,-087.6583979
17031030604,        174696,        109054,+41.9856712,-087.6528374
17031030701,         69878,             0,+41.9827453,-087.6579659
17031030702,          8299,             0,+41.9806894,-087.6548217
17031030703,        198288,             0,+41.9788748,-087.6578708
17031030706,        395781,        186155,+41.9804564,-087.6509730
17031030800,        567414,             0,+41.9799123,-087.6641880
17031030900,        408716,             0,+41.9797951,-087.6714454
17031031000,        424895,             0,+41.9724370,-087.6711094
17031031100,        549966,             0,+41.9726684,-087.6638662
17031031200,        326474,             0,+41.9727092,-087.6573410
17031031300,        632174,        466785,+41.9737631,-087.6465284
17031031400,       1489276,       1040213,+41.9594315,-087.6417542
17031031501,        160450,             0,+41.9672853,-087.6524500
17031031502,        161701,             0,+41.9636326,-087.6523656
17031031700,        477478,             0,+41.9654466,-087.6631954
17031031800,        235150,             0,+41.9670114,-087.6706209
17031031900,        257670,             0,+41.9633740,-087.6701841
17031032100,        431028,             0,+41.9581538,-087.6530179
17031040100,       1972512,         29163,+41.9854807,-087.6829955
17031040201,        721412,             0,+41.9725804,-087.6940005
17031040202,        588656,             0,+41.9798549,-087.6940960
17031040300,        767450,             0,+41.9768011,-087.7019748
17031040401,        385796,             0,+41.9720667,-087.6860816
17031040402,        602584,             0,+41.9725450,-087.6788180
17031040600,        331258,             0,+41.9668338,-087.6840181
17031040700,        358082,             0,+41.9668057,-087.6940853
17031040800,        230027,             0,+41.9631627,-087.6923034
17031040900,        321854,             0,+41.9631847,-087.6838544
17031050100,        334634,             0,+41.9578451,-087.6763730
17031050200,        652253,             0,+41.9577405,-087.6837168
17031050300,        394731,             0,+41.9576780,-087.6915186
17031050500,        652578,             0,+41.9504474,-087.6835073
17031050600,        332459,             0,+41.9505466,-087.6761813
17031050700,        164328,             0,+41.9450710,-087.6760595
17031050800,        162818,             0,+41.9450095,-087.6809279
17031050900,        162724,             0,+41.9449466,-087.6857780
17031051000,        166637,             0,+41.9413024,-087.6857317
17031051100,        162702,             0,+41.9413652,-087.6808266
17031051200,        164664,             0,+41.9414211,-087.6759518
17031051300,        321993,             0,+41.9359958,-087.6758404
17031051400,        358887,             0,+41.9357489,-087.6809905
17031060100,        325546,             0,+41.9575311,-087.6666112
17031060200,        318279,             0,+41.9579036,-087.6715175
17031060300,        319702,             0,+41.9506061,-087.6713317
17031060400,        325028,             0,+41.9506732,-087.6665364
17031060500,        228281,             0,+41.9527200,-087.6605008
17031060800,        181491,         65882,+41.9539590,-087.6426489
17031060900,        499066,        404435,+41.9515166,-087.6417784
17031061000,        172815,             0,+41.9492206,-087.6519703
17031061100,        173037,             0,+41.9491397,-087.6568035
17031061200,        174670,             0,+41.9490599,-087.6616427
17031061500,        162913,             0,+41.9452818,-087.6615447
17031061800,         82842,             0,+41.9464895,-087.6471132
17031061901,        160610,             0,+41.9432367,-087.6434599
17031061902,        276101,        585774,+41.9431822,-087.6358414
17031062000,        224978,             0,+41.9425769,-087.6470786
17031062100,        244805,             0,+41.9426914,-087.6517704
17031062200,        242322,             0,+41.9425847,-087.6566440
17031062300,        163311,             0,+41.9416278,-087.6614432
17031062400,        162936,             0,+41.9415556,-087.6662882
17031062500,        161003,             0,+41.9414880,-087.6711073
17031062600,        330018,             0,+41.9359751,-087.6709843
17031062700,        325099,             0,+41.9360862,-087.6661103
17031062800,        325609,             0,+41.9361586,-087.6612648
17031062900,        325739,             0,+41.9362370,-087.6564113
17031063000,        324350,             0,+41.9363102,-087.6515617
17031063100,        159625,             0,+41.9382319,-087.6467799
17031063200,        366716,        397543,+41.9389231,-087.6346726
17031063301,         93853,             0,+41.9345409,-087.6430242
17031063302,        121200,             0,+41.9347647,-087.6398540
17031063303,        236592,             0,+41.9347312,-087.6346613
17031063400,        158837,             0,+41.9346595,-087.6467302
17031070101,        532227,        665646,+41.9295225,-087.6323247
17031070102,        124703,             0,+41.9305829,-087.6422020
17031070103,         69094,             0,+41.9268110,-087.6426051
17031070200,        341405,             0,+41.9290778,-087.6462930
17031070300,        324403,             0,+41.9290463,-087.6513102
17031070400,        324369,             0,+41.9289672,-087.6561563
17031070500,        305416,             0,+41.9289455,-087.6608922
17031070600,        343156,             0,+41.9287627,-087.6656766
17031070700,        686125,             0,+41.9292624,-087.6738022
17031071000,        324638,             0,+41.9217011,-087.6559114
17031071100,        325459,             0,+41.9217777,-087.6510614
17031071200,        325200,             0,+41.9218547,-087.6462106
17031071300,        309582,             0,+41.9217794,-087.6414578
17031071400,        640574,        683301,+41.9225714,-087.6295838
17031071500,        895561,        723065,+41.9142517,-087.6251017
17031071600,        162135,             0,+41.9164725,-087.6411828
17031071700,        159947,             0,+41.9128666,-087.6410718
17031071800,        323368,             0,+41.9145855,-087.6459660
17031080100,        265778,             0,+41.9075536,-087.6267898
17031080201,        135301,             0,+41.9094984,-087.6310054
17031080202,        155329,             0,+41.9058597,-087.6309005
17031080300,        361488,             0,+41.9074900,-087.6357986
17031080400,        327343,             0,+41.9074116,-087.6409021
17031081000,        298827,             0,+41.9002655,-087.6321089
17031081100,        102350,             0,+41.9002065,-087.6291090
17031081201,        185123,             0,+41.8991538,-087.6262120
17031081202,        204965,        530066,+41.9048083,-087.6246510
17031081300,        202656,             0,+41.8983354,-087.6207531
17031081401,        279853,             0,+41.8950391,-087.6197520
17031081402,        588260,             0,+41.8910215,-087.6129310
17031081403,        357392,       1461699,+41.8891289,-087.6134528
17031081500,        295437,             0,+41.8925590,-087.6262300
17031081600,        132807,             0,+41.8921063,-087.6288737
17031081700,        371566,             0,+41.8920668,-087.6318681
17031081800,        746627,             0,+41.8932554,-087.6377955
17031081900,        137749,             0,+41.8979832,-087.6414914
17031090100,        933126,             0,+42.0152551,-087.8135847
17031090200,       1552552,             0,+42.0055983,-087.8132238
17031090300,        496121,             0,+41.9992224,-087.8166187
17031100100,       1177657,             0,+41.9895804,-087.7830335
17031100200,       2088930,             0,+41.9956163,-087.7942458
17031100300,       2286756,             0,+41.9887029,-087.8044054
