"","Estimate..ANCESTRY...Total.population...American","Estimate..COMMUTING.TO.WORK...Workers.16.years.and.over...Worked.at.home","Estimate..FERTILITY...Number.of.women.15.to.50.years.old.who.had.a.birth.in.the.past.12.months","Estimate..GRANDPARENTS...Number.of.grandparents.living.with.own.grandchildren.under.18.years","Estimate..HOUSEHOLDS.BY.TYPE...Average.family.size","Estimate..HOUSEHOLDS.BY.TYPE...Average.household.size","Estimate..INDUSTRY...Civilian.employed.population.16.years.and.over...Agriculture..forestry..fishing.and.hunting..and.mining","Estimate..RACE...One.race...American.Indian.and.Alaska.Native","Estimate..RACE...One.race...American.Indian.and.Alaska.Native...Cherokee.tribal.grouping","Estimate..RACE...One.race...American.Indian.and.Alaska.Native...Chippewa.tribal.grouping","Estimate..RACE...One.race...American.Indian.and.Alaska.Native...Navajo.tribal.grouping","Estimate..RACE...One.race...American.Indian.and.Alaska.Native...Sioux.tribal.grouping","Estimate..RACE...One.race...Asian...Asian.Indian","Estimate..RACE...One.race...Asian...Other.Asian","Estimate..RACE...One.race...Native.Hawaiian.and.Other.Pacific.Islander","Estimate..RACE...One.race...Native.Hawaiian.and.Other.Pacific.Islander...Guamanian.or.Chamorro","Estimate..RACE...One.race...Native.Hawaiian.and.Other.Pacific.Islander...Native.Hawaiian","Estimate..RACE...One.race...Native.Hawaiian.and.Other.Pacific.Islander...Other.Pacific.Islander","Estimate..RACE...One.race...Native.Hawaiian.and.Other.Pacific.Islander...Samoan","Estimate..RACE...Two.or.more.races...Black.or.African.American.and.American.Indian.and.Alaska.Native","Estimate..RACE...Two.or.more.races...White.and.American.Indian.and.Alaska.Native","Percent..RACE...One.race...American.Indian.and.Alaska.Native...Cherokee.tribal.grouping","Percent..RACE...One.race...American.Indian.and.Alaska.Native...Chippewa.tribal.grouping","Percent..RACE...One.race...American.Indian.and.Alaska.Native...Navajo.tribal.grouping","Percent..RACE...One.race...American.Indian.and.Alaska.Native...Sioux.tribal.grouping","Percent..RACE...One.race...Asian","Percent..RACE...One.race...Asian...Asian.Indian","Percent..RACE...One.race...Asian...Chinese","Percent..RACE...One.race...Asian...Filipino","Percent..RACE...One.race...Asian...Japanese","Percent..RACE...One.race...Asian...Korean","Percent..RACE...One.race...Asian...Other.Asian","Percent..RACE...One.race...Asian...Vietnamese","Percent..RACE...One.race...Black.or.African.American","Percent..RACE...One.race...Native.Hawaiian.and.Other.Pacific.Islander","Percent..RACE...One.race...Native.Hawaiian.and.Other.Pacific.Islander...Guamanian.or.Chamorro","Percent..RACE...One.race...Native.Hawaiian.and.Other.Pacific.Islander...Native.Hawaiian","Percent..RACE...One.race...Native.Hawaiian.and.Other.Pacific.Islander...Other.Pacific.Islander","Percent..RACE...One.race...Native.Hawaiian.and.Other.Pacific.Islander...Samoan","Percent..RACE...One.race...White","Percent..RACE...Two.or.more.races","Percent..RACE...Two.or.more.races...Black.or.African.American.and.American.Indian.and.Alaska.Native","Percent..RACE...Two.or.more.races...White.and.American.Indian.and.Alaska.Native","Percent..RACE...Two.or.more.races...White.and.Asian","Percent..RACE...Two.or.more.races...White.and.Black.or.African.American","Percent..SCHOOL.ENROLLMENT...Population.3.years.and.over.enrolled.in.school...Elementary.school..grades.1.8.","Percent..SEX.AND.AGE...10.to.14.years","Percent..SEX.AND.AGE...15.to.19.years","Percent..SEX.AND.AGE...25.to.34.years","Percent..SEX.AND.AGE...35.to.44.years","Percent..SEX.AND.AGE...45.to.54.years","Percent..SEX.AND.AGE...5.to.9.years","Percent..SEX.AND.AGE...55.to.59.years","Percent..SEX.AND.AGE...60.to.64.years","Percent..SEX.AND.AGE...62.years.and.over","Percent..SEX.AND.AGE...65.to.74.years","Percent..SEX.AND.AGE...Under.5.years","Annual_MIR"
"2",371,210,80,91,3.2,2.57,0.3,0,0,0,0,0,138,0,0,0,0,0,0,0,16,0,0,0,0,4.1,1.8,1.4,0.9,0,0,0,0,2.1,0,0,0,0,0,90.6,2,0,0.2,1.5,0,36.6,5.8,8.4,9.3,13.1,16.7,5.3,9.7,8.5,17.3,8.8,5.4,2088.29257848614
"3",186,46,107,49,2.79,1.96,0,0,0,0,0,0,56,0,14,0,0,0,14,0,30,0,0,0,0,8.9,1.4,0.2,0,0,5.8,0,1.5,2,0.4,0,0,0,0.4,75.8,2,0,0.8,1.2,0,26.8,2.2,4.4,19.7,12,13.2,3.4,6.9,6.9,23.6,9.1,8,91.9085125991628
"4",39,0,61,15,2.9,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0,0,4.4,0.3,1.6,0,0,0.7,0,0,0,0,0,87.9,0,0,0,0,0,37,3.4,3.1,17.3,13.5,12.4,2.8,5.6,5.6,26.9,8.1,8.2,191.723130355119
"5",154,24,18,38,3.3,2.75,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.7,0,1.4,0.7,0,0,0,0,0,0,0,0,0,87.5,1.1,0,0,0.6,0.5,35,5,10.3,10.7,14.7,19.1,7.3,7.9,4.7,13.2,4.7,4.7,426.181615250805
"6",49,69,13,124,3.07,2.23,0,0,0,0,0,0,103,12,0,0,0,0,0,0,10,0,0,0,0,9.5,2.2,0.9,0,1.5,4.6,0.3,0,0.7,0,0,0,0,0,81.6,3.5,0,0.2,0.5,0,42,5.9,4.3,13.5,13.7,18.5,6.4,12.5,6.1,17.7,7.6,3,998.825561129427
"7",77,97,0,130,3.09,2.43,0,15,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,17.9,9,0,6.4,0.6,1.9,0,0,2.2,0,0,0,0,0,65.7,0.9,0,0,0,0,45.7,5.7,8.1,14.9,19.5,14.6,3.9,6.9,5.5,14.5,7.1,3.8,1046.95825802417
"8",59,76,171,237,3.35,2.47,0,25,0,0,0,14,567,0,0,0,0,0,0,17,0,0,0,0,0.2,17,8.2,2.1,4.9,1.1,0.7,0,0,9.3,0,0,0,0,0,56.7,1.6,0.2,0,0.8,0.2,41.1,6.7,8.6,15.2,13.9,11.9,5.1,3.9,5.1,20.9,4.1,6.8,1154.34349141834
"9",180,86,151,75,3.15,2.59,0.4,23,0,0,0,0,420,8,0,0,0,0,0,0,24,0,0,0,0,15.5,6.2,1.2,2.4,0,5.5,0.1,0,1.2,0,0,0,0,0,71.9,4.3,0,0.4,1,3,43.8,7.5,6.1,10,15.6,15.8,7,6.2,5.4,15.7,7.4,5.5,1224.0988871848
"10",136,61,15,54,3.5,2.94,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,6.9,1.2,1.9,3.9,0,0,0,0,0,0,0,0,0,0,91.7,0.8,0,0,0,0,24,5.7,12.3,6.1,14.9,15.6,3,4.9,9.8,24.8,8.7,5.4,668.134195501063
"11",138,92,113,44,3.59,3.05,0,36,0,0,0,36,351,0,0,0,0,0,0,0,32,0,0,0,0.7,9.8,6.6,0.6,1.6,0,0.8,0,0.2,2.9,0,0,0,0,0,52.4,0.7,0,0.6,0,0,53.4,5.2,5.9,15.2,11.2,10.1,8.1,9.1,3.1,20.5,6.1,6.1,1245.08093608637
"12",47,32,14,82,3.5,2.92,0.9,0,0,0,0,0,4,37,0,0,0,0,0,0,23,0,0,0,0,3.9,0.2,0,2.1,0,0,1.6,0,0,0,0,0,0,0,86.5,2.7,0,1,0,1.7,40,8.4,6.2,10.2,10.7,15.6,6.6,13.3,3.3,13.7,5.6,6.9,193.270008990471
"13",7,39,40,79,3.97,3.26,0,0,0,0,0,0,459,170,0,0,0,0,0,0,0,0,0,0,0,26.6,18,0.9,1.1,0,0,6.7,0,3.1,0,0,0,0,0,57.5,0,0,0,0,0,33.9,7.5,6,12.9,13.6,13.2,5.3,7.9,3.1,11.9,6.2,10.7,168.12035231034
"14",49,34,69,130,3.4,2.9,1.4,0,0,0,0,0,152,22,0,0,0,0,0,0,0,0,0,0,0,9.3,3.6,0,5.1,0,0,0.5,0,0.9,0,0,0,0,0,68.7,0.4,0,0,0,0,42.5,6.4,6.3,13.2,13.5,13.4,6.8,8.4,6.7,17.6,7.4,6,448.130038926867
"15",63,160,73,31,3.15,2.17,0,0,0,0,0,0,0,173,0,0,0,0,0,0,23,0,0,0,0,6.4,0,1.2,0,0.6,0,4.2,0.5,13.1,0,0,0,0,0,73.3,5.2,0,0.6,1.5,0.6,24.1,5.1,4.3,22,21.6,12,5.3,5.8,3.7,9.4,5.2,8.9,49.4886971829846
"16",195,254,136,90,2.93,2.3,0,0,0,0,0,0,27,46,0,0,0,0,0,0,0,0,0,0,0,3.8,0.5,0.6,0,0,0.7,0.8,1.2,39.2,0,0,0,0,0,52.8,1.4,0,0,0.6,0.8,35.5,4.9,4.4,16.6,17,17,9.8,4.3,4,8.4,4.1,9.9,63.4365909584454
"17",142,102,56,59,3.22,2.62,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,5.2,0,0,2.5,0.7,0,1.8,0.3,42,0,0,0,0,0,43.1,2.5,0,0,0,1.2,33.6,5.3,8.4,14.5,14.1,14.9,6.5,8.1,7.3,15.7,5,5.3,205.930972313013
"18",71,131,25,18,3.15,2.69,0,0,0,0,0,0,0,10,0,0,0,0,0,28,0,0,0,0,0,1.6,0,0.6,0.3,0.4,0,0.3,0,25.9,0,0,0,0,0,65.3,4.4,0.8,0,2.3,0.4,26.4,4.2,7.5,12.1,12.4,20.6,7.6,9.2,4.1,12.1,5.7,7.5,97.2555731140987
